Zmienna;Typ informacji;Jednostka terytorialna;PKD - wybrane sekcje i działy 1 (KG);Szereg czasowy;Wartość;Flaga
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M11;-30,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2022 M12;-32,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M01;-10,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M02;-15,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M03;-17,2;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M04;-15,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M05;-12,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M06;-8,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M07;-6,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M08;-7,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M09;-5,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M10;-6,7;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M11;-5,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M12;-7,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M01;-18,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M02;-17,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M03;-15,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M04;-13,7;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M05;-8,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M06;-5,5;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M07;-4,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M08;-7,0;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M09;-7,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M10;-9,4;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M11;-11,9;(nd)
Wskaźnik ogólnego klimatu koniunktury;[-];POLSKA;BUDOWNICTWO;2021 M12;-15,4;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M01;-27,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M02;-20,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M03;-13,8;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M04;-11,7;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M05;-4,2;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M06;-2,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M07;-3,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M08;-6,3;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M09;-10,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M10;-12,1;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M11;-18,0;(nd)
Przewidywana ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2021 M12;-22,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M01;9,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M02;4,6;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M03;1,8;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M04;-26,0;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M05;-27,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M06;-21,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M07;-15,1;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M08;-11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M09;-11,5;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M10;-8,9;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M11;-13,3;(nd)
Bieżąca ogólna sytuacja gospodarcza przedsiębiorstwa;[-];POLSKA;BUDOWNICTWO;2020 M12;-13,9;(nd)
